ts_local,series,ticker,ignored,buy_count,cost_cents,fee_cost_cents,fill_side,is_taker,pnl_cents,contract_cost,percent_gain
2026-04-13T05:45:09.918242-07:00,KXETH15M,KXETH15M-26APR130845-45,no,1,99.0,0.0,no,false,1.0,99.0,1.010101
2026-04-13T05:45:09.926171-07:00,KXBTC15M,KXBTC15M-26APR130845-45,no,1,98.5,0.5,no,false,1.5,98.5,1.522843
2026-04-13T06:00:09.927258-07:00,KXBTC15M,KXBTC15M-26APR130900-00,no,1,97.5,0.5,yes,false,2.5,97.5,2.564103
2026-04-13T06:00:09.929740-07:00,KXETH15M,KXETH15M-26APR130900-00,no,1,98.7,0.3,yes,true,1.2999999999999972,98.7,1.317123
2026-04-13T06:15:09.921128-07:00,KXETH15M,KXETH15M-26APR130915-15,no,1,97.89999999999999,1.1,yes,true,2.1000000000000085,97.9,2.145046
2026-04-13T06:15:09.930255-07:00,KXBTC15M,KXBTC15M-26APR130915-15,no,1,98.6,0.4,yes,false,1.4000000000000057,98.6,1.419878
2026-04-13T06:30:09.929870-07:00,KXETH15M,KXETH15M-26APR130930-30,no,1,99.0,1.0,no,true,1.0,99.0,1.010101
2026-04-13T06:30:09.930637-07:00,KXSOL15M,KXSOL15M-26APR130930-30,no,2,188.0,1.0,no,mixed,12.0,94.0,6.382979
2026-04-13T06:45:09.925572-07:00,KXBTC15M,KXBTC15M-26APR130945-45,no,1,98.0,1.0,no,true,2.0,98.0,2.040816
2026-04-13T06:45:09.926509-07:00,KXETH15M,KXETH15M-26APR130945-45,no,1,98.5,0.5,no,false,1.5,98.5,1.522843
2026-04-13T07:00:09.922539-07:00,KXETH15M,KXETH15M-26APR131000-00,no,1,99.0,1.0,yes,true,1.0,99.0,1.010101
2026-04-13T07:00:09.934686-07:00,KXBTC15M,KXBTC15M-26APR131000-00,no,1,97.8,0.2,yes,true,2.200000000000003,97.8,2.249489
2026-04-13T07:15:09.923608-07:00,KXETH15M,KXETH15M-26APR131015-15,no,1,97.5,0.5,no,true,2.5,97.5,2.564103
2026-04-13T07:15:09.925445-07:00,KXSOL15M,KXSOL15M-26APR131015-15,no,1,99.0,0.0,no,false,1.0,99.0,1.010101
