ts_local,buy_count,cost_cents,fill_side,pnl_cents,series,contract_cost,percent_gain
2026-03-23T12:30:10.808561-07:00,13,1227.1999999999998,yes,72.80000000000018,KXBTC15M,94.4,5.932203
2026-03-23T12:45:10.805668-07:00,13,1216.8000000000002,no,83.19999999999982,KXBTC15M,93.6,6.837607
2026-03-23T13:00:10.786185-07:00,16,1232.0,no,368.0,KXXRP15M,77.0,29.87013
2026-03-23T13:00:10.802952-07:00,11,1038.3999999999999,no,61.600000000000136,KXBTC15M,94.4,5.932203
2026-03-23T13:15:10.807672-07:00,13,1225.8999999999999,yes,74.10000000000014,KXBTC15M,94.3,6.044539
2026-03-23T13:30:10.811909-07:00,13,1257.1000000000001,yes,42.899999999999864,KXBTC15M,96.7,3.412616
2026-03-23T13:45:10.803375-07:00,13,1227.1999999999998,yes,72.80000000000018,KXBTC15M,94.4,5.932203
2026-03-23T14:00:10.790545-07:00,13,1236.3,no,63.700000000000045,KXSOL15M,95.1,5.152471
2026-03-23T14:30:10.802526-07:00,13,1262.3,yes,37.700000000000045,KXBTC15M,97.1,2.986612
2026-03-23T14:30:10.808954-07:00,13,1066.0,no,234.0,KXXRP15M,82.0,21.95122
2026-03-23T14:30:10.811524-07:00,12,1116.0,no,84.0,KXSOL15M,93.0,7.526882
2026-03-23T14:45:10.802838-07:00,14,1321.6,yes,78.40000000000009,KXBTC15M,94.4,5.932203
2026-03-23T15:00:10.787350-07:00,16,1312.0,no,288.0,KXXRP15M,82.0,21.95122
2026-03-23T15:00:10.808269-07:00,12,1044.0,no,156.0,KXBTC15M,87.0,14.942529
2026-03-23T15:15:10.806978-07:00,14,1323.0,no,77.0,KXBTC15M,94.5,5.820106
2026-03-23T15:30:10.804658-07:00,14,1374.8,no,25.200000000000045,KXBTC15M,98.2,1.832994
2026-03-23T16:00:10.808040-07:00,15,1393.5,yes,106.5,KXBTC15M,92.9,7.642626
2026-03-23T16:15:10.794254-07:00,17,1394.0,no,306.0,KXXRP15M,82.0,21.95122
2026-03-23T16:30:10.807308-07:00,15,1415.9999999999998,yes,84.00000000000023,KXBTC15M,94.4,5.932203
2026-03-23T16:30:10.809717-07:00,13,1157.0,yes,-1157.0,KXSOL15M,89.0,-100.0
2026-03-23T16:45:10.801906-07:00,14,1320.2,yes,79.79999999999995,KXBTC15M,94.3,6.044539
2026-03-23T17:00:10.860381-07:00,14,1321.6,yes,78.40000000000009,KXBTC15M,94.4,5.932203
2026-03-23T17:15:10.865473-07:00,14,1304.8,no,95.20000000000005,KXSOL15M,93.2,7.296137
2026-03-23T17:45:10.843327-07:00,17,1377.0,no,323.0,KXXRP15M,81.0,23.45679
2026-03-23T17:45:10.859618-07:00,12,1179.6,no,20.40000000000009,KXBTC15M,98.3,1.7294
