ticker,result,open_time,close_time
KXBTC15M-26MAR161900-00,no,2026-03-16T22:45:00Z,2026-03-16T23:00:00Z
KXBTC15M-26MAR161845-45,yes,2026-03-16T22:30:00Z,2026-03-16T22:45:00Z
KXBTC15M-26MAR161830-30,no,2026-03-16T22:15:00Z,2026-03-16T22:30:00Z
KXBTC15M-26MAR161815-15,yes,2026-03-16T22:00:00Z,2026-03-16T22:15:00Z
KXBTC15M-26MAR161800-00,yes,2026-03-16T21:45:00Z,2026-03-16T22:00:00Z
KXBTC15M-26MAR161745-45,yes,2026-03-16T21:30:00Z,2026-03-16T21:45:00Z
KXBTC15M-26MAR161730-30,no,2026-03-16T21:15:00Z,2026-03-16T21:30:00Z
KXBTC15M-26MAR161715-15,yes,2026-03-16T21:00:00Z,2026-03-16T21:15:00Z
KXBTC15M-26MAR161700-00,yes,2026-03-16T20:45:00Z,2026-03-16T21:00:00Z
KXBTC15M-26MAR161645-45,yes,2026-03-16T20:30:00Z,2026-03-16T20:45:00Z
KXBTC15M-26MAR161630-30,yes,2026-03-16T20:15:00Z,2026-03-16T20:30:00Z
KXBTC15M-26MAR161615-15,no,2026-03-16T20:00:00Z,2026-03-16T20:15:00Z
KXBTC15M-26MAR161600-00,no,2026-03-16T19:45:00Z,2026-03-16T20:00:00Z
KXBTC15M-26MAR161545-45,yes,2026-03-16T19:30:00Z,2026-03-16T19:45:00Z
KXBTC15M-26MAR161530-30,no,2026-03-16T19:15:00Z,2026-03-16T19:30:00Z
KXBTC15M-26MAR161515-15,yes,2026-03-16T19:00:00Z,2026-03-16T19:15:00Z
KXBTC15M-26MAR161500-00,no,2026-03-16T18:45:00Z,2026-03-16T19:00:00Z
KXBTC15M-26MAR161445-45,no,2026-03-16T18:30:00Z,2026-03-16T18:45:00Z
KXBTC15M-26MAR161430-30,yes,2026-03-16T18:15:00Z,2026-03-16T18:30:00Z
KXBTC15M-26MAR161415-15,yes,2026-03-16T18:00:00Z,2026-03-16T18:15:00Z
KXBTC15M-26MAR161400-00,yes,2026-03-16T17:45:00Z,2026-03-16T18:00:00Z
KXBTC15M-26MAR161345-45,yes,2026-03-16T17:30:00Z,2026-03-16T17:45:00Z
KXBTC15M-26MAR161330-30,no,2026-03-16T17:15:00Z,2026-03-16T17:30:00Z
KXBTC15M-26MAR161315-15,yes,2026-03-16T17:00:00Z,2026-03-16T17:15:00Z
KXBTC15M-26MAR161300-00,yes,2026-03-16T16:45:00Z,2026-03-16T17:00:00Z
KXBTC15M-26MAR161245-45,yes,2026-03-16T16:30:00Z,2026-03-16T16:45:00Z
KXBTC15M-26MAR161230-30,yes,2026-03-16T16:15:00Z,2026-03-16T16:30:00Z
